id,domain,feature,user_story,expected_behavior,status,gaps_for_robustness,priority,test_result,notes
A1,Auth,Email/Password Signup,"As a new user, I want to sign up with my email, password, and name (rejected if that email is already verified by another account), so that I can create a Porizo account.","; - `POST /auth/signup` — requires `email`, `password`, `name`, optional `locale`, `country`. ; - Rate-limited: 5/hour per IP (`signup:${clientIp}`). ; - Validates email format, password min-length (deferred to schema), username format (`/^[a-zA-Z][a-zA-Z0-9_]{2,19}$/`). ; - Dedup check: rejects if email already exists in `user_contacts` with `verified_at IS NOT NULL`. ; - Creates user via `identi",Implemented,"; - No `username` field on the signup schema — username is set at profile-update time, meaning there is a window where the user exists with no username. The `GET /users/username/available` check is advisory only; there is no atomic reserve-and-set in signup. ; - Email is stored but **unverified** at signup; most downstream gating depends on `email_verified` flag. No hard block on using the app unv",P3,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
A2,Auth,Email/Password Login,"As a returning user, I want to log in with my verified email and password (blocked if my account is locked from too many failed attempts), so that I can access my account securely.","; - `POST /auth/login` — requires `email`, `password`. ; - Rate-limited: 10/hour per `ip:email` combination (prevents credential stuffing); separate per-IP limit. ; - Looks up user via `user_contacts` (verified email only), then fetches `password_hash` from `user_auth_providers`. ; - Checks `isAccountLocked(userId)` before password comparison — rejects with `ACCOUNT_LOCKED` if `locked_until > NOW(",Implemented,"; - **Timing oracle:** `bcrypt.compare` is called even when no `password_hash` row exists (good), but error message is uniform — however the rate limit key includes the email, so an attacker can enumerate valid emails by observing which email+IP combinations hit the rate limit earlier (they get `RATE_LIMITED` instead of `INVALID_CREDENTIALS`). ; - Rate limit window is in-memory `Map` as a fast-pat",P1,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
A3,Auth,Sign In with Apple (SIWA),"As a returning user, I want to sign in with my Apple ID by submitting either an id_token or an authorization code that the server verifies against Apple, so that I can authenticate without a password.","; - Handled via `POST /auth/social` with `provider: ""apple""`. ; - Two sub-paths depending on what the client sends: ; - **id_token path:** `social-token-verifier.js` → `verifyAppleToken` — fetches Apple JWKS from `https://appleid.apple.com/auth/keys` (cached 24h via `jwks-rsa`), verifies JWT signature + `aud` (client_id) + `iss` + expiry. ; - **authorization_code path:** `apple-signin.js` → `exc",Implemented,"; - Apple's `name` claim is only delivered on the first authorization. If the user deletes and reinstalls the app, `name` will be null and the account will be created with no display name, requiring the user to set it manually. No fallback prompt. ; - `aud` check in `verifyAppleToken` must match `APPLE_CLIENT_ID` env var — if this is not set in production the claim check fails open (need to verify",P3,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
A4,Auth,Google Social Login,"As a returning user, I want to sign in with my Google account using a token or authorization code the server verifies against Google, so that I can authenticate without a password.","; - `POST /auth/social` with `provider: ""google""`. ; - `verifyGoogleToken` in `social-token-verifier.js` — uses Google JWKS from `https://www.googleapis.com/oauth2/v3/certs` (cached 24h), verifies JWT signature + `aud` + `iss` + expiry. ; - `exchangeGoogleAuthorizationCode` is also available for authorization-code flow. ; - `isProviderConfigured(""google"")` gates the provider. ; - Same resolve/",Implemented,"; - Same nonce gap as Apple — server does not validate nonce if Google sends one. ; - `GOOGLE_CLIENT_ID` env var must be set for `aud` check; verify it is set in Railway production. ; - Google's `email_verified` claim in the id_token is not explicitly checked — a non-verified Google email could be accepted as a verified contact. ; - No revocation: on account deletion, there is no call to revoke th",P3,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
A5,Auth,Facebook Social Login,"As a returning user, I want to sign in with my Facebook account using a token the server validates via Facebook's debug-token endpoint, so that I can authenticate without a password.","; - `POST /auth/social` with `provider: ""facebook""`. ; - `verifyFacebookToken` calls Facebook's token debug endpoint (`graph.facebook.com/debug_token`) using an app access token — does not use JWKS (Facebook does not expose standard JWKS). ; - `exchangeFacebookAuthorizationCode` available. ; - `isProviderConfigured(""facebook"")` gates it.",Partial,"; - Facebook uses a different validation mechanism (graph API call) vs JWKS for Apple/Google — introduces a network dependency at login time with no retry/circuit breaker. ; - App access token (`FB_APP_ID:FB_APP_SECRET`) must be set — if missing, `verifyFacebookToken` will fail at runtime with an unhandled rejection shaped error. ; - Facebook's `email` is not always present (users can deny email p",P2,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
A6,Auth,Phone OTP — Send Code,"As an anonymous user, I want to request an SMS verification code sent to my E.164 phone number (rate-limited per IP and per number), so that I can begin signing in or registering by phone.",; - `POST /auth/phone/send-code` — requires `phone_number` in E.164 format. ; - Two-layer rate limiting: 5/hour per IP (`phone-send:${clientIp}`) AND 5/hour per phone number (`sms:phone:${phone_number}`). ; - E.164 format validated before per-phone rate limit keying (avoids bombing limit on garbage input). ; - `smsService.isConfigured()` checked — returns 503 if SMS not configured. ; - Calls `smsS,Implemented,"; - No international dialling code allowlist — any E.164 number is accepted. Premium-rate SMS fraud is possible without a country-code denylist. ; - Per-phone rate limit key does not normalise the phone number before keying (e.g., `+12025551234` vs `+1-202-555-1234` would be different keys if client sends non-canonical E.164 — but E.164 validation runs first so this is acceptable). ; - No audit lo",P1,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
A7,Auth,Phone OTP — Verify & Login,"As an anonymous user, I want to submit my phone number and the code I received so that I'm logged in if the phone is known, or issued a short-lived registration token if it's new, so that I can proceed by phone.","; - `POST /auth/phone/verify` — requires `phone_number`, `code`. ; - Rate-limited: 10/hour per IP. ; - `smsService.verifyCode(phone_number, code)` validates the OTP. ; - **If phone is already a known identity:** `identityService.resolveUserByIdentity(db, ""phone"", phone_number)` → login path (session + tokens). ; - **If phone is new:** issues a short-lived `registration_token` (HMAC-signed, store",Implemented,"; - `registration_token` is HMAC-signed using `JWT_SECRET` (or `PHONE_HMAC_KEY`). If `JWT_SECRET` is rotated, all pending registration tokens are immediately invalidated with no graceful transition period. ; - Token TTL is stored in `phone_registration_tokens.expires_at` but the expiry is only enforced at `consumeRegistrationToken` time — there is no background job to purge expired rows. ; - The `",P3,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
A8,Auth,Phone OTP — Register New Account,"As a new user, I want to complete phone registration with my registration token, phone number, and name, so that I can create a fresh account tied to my verified phone.","; - `POST /auth/phone/register` — requires `registration_token`, `phone_number`, `name`; optional `email`, `locale`, `country`. ; - Rate-limited: 5/hour per IP. ; - `consumeRegistrationToken` validates HMAC and phone-number binding, marks token consumed. ; - Cross-identifier dedup: checks if phone already registered (shouldn't be — verify step gated it) AND if provided email already exists as a ve",Implemented,"; - Race condition: between `verify` and `register`, another request could register the same phone (e.g., attacker replaying a stolen registration_token from a different IP). `consumeRegistrationToken` sets `consumed_at` atomically, so the token cannot be reused — but there is no unique constraint preventing two `register` calls with different tokens for the same phone if both arrive before either",P1,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
A9,Auth,Anonymous Device Token,"As an anonymous device user, I want to be issued a signed device token carrying my device ID and platform, so that the app can identify my device before I authenticate.","; - `issueDeviceToken({ userId, deviceId, platform, appVersion })` in `device-token.js`. ; - Issues a signed JWT (`issuer: ""porizo-device""`) containing `device_id`, `platform`, `app_version`, and optionally `sub` (userId if authenticated). ; - TTL: `DEVICE_TOKEN_TTL_DAYS` env var (default 30 days). ; - Signed with `DEVICE_TOKEN_SECRET` (falls back to `JWT_SECRET`). ; - `verifyDeviceToken(token)`",Implemented,"; - **No revocation path.** If a device token is compromised, there is no way to invalidate it short of rotating `DEVICE_TOKEN_SECRET` (which invalidates ALL device tokens). ; - Device tokens fall back to `JWT_SECRET` — if the two secrets are the same, a device token could theoretically be used to impersonate a user JWT (different `iss` claim prevents this in practice, but defence-in-depth suggest",P3,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
A10,Auth,JWT Access Token Issuance & Verification,"As a returning user, I want a short-lived signed access token issued and verified on each request, so that my authenticated API calls are authorized securely.","; - `generateAccessToken(userId, options)` in `auth-service.js` — signs HS256 JWT with `sub: userId`, `sid: sessionId`, configured expiry (default: 60 minutes), `iss: config.jwtIssuer`. ; - `verifyAccessToken(token)` — verifies signature, expiry, with configurable `clockTolerance` (default 5s). ; - `requireAuth` preHandler in `auth.js`: extracts Bearer token, calls `verifyAccessToken`, then does *",Implemented,; - `requireAuth` makes 2 DB queries per authenticated request. No caching layer (Redis/memcached) means every API call hits Postgres twice. At scale this becomes a bottleneck; for current user count it is fine. ; - `clockTolerance` is hardcoded at 5s default — not configurable per environment. In environments with NTP drift this could cause intermittent 401s. ; - No JWT key rotation mechanism. Ro,P3,Suite green @2026-06-23 (2421/2452 pass); no failing test touches this feature,; --- ;
